Location name,Lat (GDA94),Long (GDA94),Survey date,Depth (m),Chlorophyll a (ug/L),Secchi depth (metres),Total N (mg/L),Ammonia (mg/L),Organic N (mg/L),NOx (mg/L),DO (mg/L),DO saturation (%),pH (Unit),Pheopigments (ug/L),FRP (mg/L),Total P (mg/L),Salinity (g/L),Conductivity (mS/cm),Temp (deg C),Turbidity (NTU)
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2000-10-13,0.2,5.3,1.2,0.2,< 0.002,0.195,0.003,7.3,103.7,8.25,0.5,0.027,0.048,36.1,54.5,22.5,4.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2000-11-10,0.2,10,0.4,0.27,< 0.002,0.266,< 0.002,6.9,96.7,7.95,2.4,0.046,0.085,33.4,50.9,22.15,19.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2000-11-10,0.2,10.4,0.8,0.29,< 0.002,0.286,< 0.002,7.0,97.4,7.76,2.9,0.049,0.088,32.3,49.3,22.39,15.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2000-11-10,0.2,7.3,0.8,0.33,0.009,0.275,0.046,6.7,93.2,7.92,1.3,0.069,0.1,31.5,48.3,22.38,17.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2000-11-10,0.2,6,1,0.66,0.089,0.361,0.21,5.5,75.7,7.59,1.3,0.17,0.2,25.8,40.3,23.57,9.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2000-11-10,0.2,4.5,1,1,0.15,0.41,0.44,4.4,59.5,7.38,2.8,0.26,0.29,22.4,35.6,24.03,11.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2000-11-13,0.2,5.3,0.7,0.26,< 0.002,0.256,< 0.002,6.6,94.5,8.14,1.3,0.044,0.076,33.9,51.5,23.5,9.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2000-11-13,0.2,3.3,0.6,0.22,< 0.002,0.216,< 0.002,6.8,97.7,8.2,< 0.5,0.046,0.072,34.8,52.8,23.8,10.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2000-11-13,0.2,3.3,0.7,0.22,< 0.002,0.216,< 0.002,7.0,100.4,8.19,< 0.5,0.039,0.066,34.7,52.7,23.6,6.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2000-12-11,0.2,4,0.8,0.28,< 0.002,0.276,< 0.002,6.5,99.3,8.12,2.2,0.052,0.09,35.3,53.5,27.22,16.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2000-12-11,0.2,6.4,0.85,0.28,< 0.002,0.276,< 0.002,6.9,105.4,8.15,1.5,0.058,0.095,35.3,53.5,27.24,15.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2000-12-11,0.2,5.9,0.9,0.3,< 0.002,0.296,< 0.002,6.7,102.9,8.12,3.9,0.059,0.1,34.7,52.7,27.47,16.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2000-12-11,0.2,12.6,0.8,0.53,0.012,0.458,0.06,6.2,95.2,7.94,1.6,0.12,0.18,30.8,47.3,28.39,14.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2000-12-11,0.2,11.4,0.8,0.65,0.06,0.44,0.15,5.3,80.6,7.73,3,0.16,0.21,28.2,43.7,28.48,14.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2000-12-13,0.2,2.5,0.8,0.22,0.008,0.206,0.006,5.9,90.8,8.07,0.8,0.026,0.05,36.2,54.6,26.7,11.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2000-12-13,0.2,3.2,0.8,0.21,0.003,0.203,0.004,6.3,95.8,8.08,< 0.5,0.026,0.052,36.1,54.5,26.8,13.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2000-12-13,0.2,6.5,0.7,0.25,< 0.002,0.246,0.002,6.1,93.4,8.09,0.8,0.042,0.076,35.8,54.2,26.7,12.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2001-01-09,0.2,4.1,0.7,0.28,< 0.002,0.276,< 0.002,6.0,92.5,8.18,2.2,0.059,0.098,35.7,54.0,27.4,11.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2001-01-09,0.2,6.1,0.7,0.37,< 0.002,0.366,< 0.002,5.7,86.5,8.12,3.4,0.072,0.12,35.1,53.2,27.1,18.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2001-01-09,0.2,10.4,0.6,0.44,< 0.002,0.436,< 0.002,5.6,85.0,7.99,5.7,0.11,0.19,33.1,50.4,27.3,24.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2001-01-09,0.2,17.4,0.6,0.51,< 0.002,0.506,< 0.002,7.0,106.4,7.88,3.2,0.23,0.3,29.3,45.2,28.5,12.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2001-01-09,0.2,21.9,0.6,0.68,0.004,0.576,0.1,5.4,81.2,7.58,5.3,0.39,0.47,26.3,41.1,28.7,14.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2001-01-09,0.2,4.7,0.8,0.28,< 0.002,0.276,< 0.002,6.9,106.6,8.3,1.6,0.062,0.098,35.4,53.6,27.7,7.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2001-01-09,0.2,3.1,0.95,0.25,< 0.002,0.246,< 0.002,6.3,96.9,8.26,0.9,0.046,0.075,35.9,54.2,27.3,7.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2001-01-09,0.2,1.8,1.15,0.17,< 0.002,0.166,< 0.002,6.5,99.9,8.22,< 0.5,0.02,0.039,36.0,54.4,26.6,5.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2001-02-06,0.2,41.5,0.8,1.1,0.007,0.773,0.32,10.8,149.7,8.2,5.3,0.089,0.2,16.3,26.6,27.21,15.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2001-02-06,0.2,34.6,0.7,1.2,0.009,0.861,0.33,9.3,125.8,8.08,2.6,0.08,0.2,14.3,23.6,27.0,20.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2001-02-06,0.2,25.5,0.5,1.3,0.22,0.76,0.32,7.1,91.5,8.06,2.7,0.11,0.22,5.62,9.97,26.83,38.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2001-02-06,0.2,3.7,0.3,1.1,0.27,0.54,0.29,5.1,64.9,7.32,0.7,0.13,0.21,2.51,4.69,26.55,42.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2001-02-06,0.2,2,0.4,1.5,0.48,0.62,0.4,3.8,49.4,7.2,1.6,0.3,0.39,3.6,6.58,27.14,35.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2001-02-06,0.2,74.9,0.4,1,0.005,0.895,0.1,11.6,161.3,8.68,11.6,0.077,0.23,17.4,28.3,27.5,18.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2001-02-06,0.2,44.5,0.4,1.1,0.008,0.762,0.33,9.5,130.3,8.5,3.5,0.088,0.2,14.9,24.6,27.4,17.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2001-02-06,0.2,78.6,1,1.1,0.004,0.936,0.16,13.9,200.1,8.76,11.8,0.12,0.25,22.5,35.7,27.7,4.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2001-03-08,0.2,2,1.3,0.18,< 0.002,0.176,< 0.002,6.1,89.4,8.15,3.6,0.02,0.041,34.9,52.9,24.5,9.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2001-03-08,0.2,3.4,1.2,0.22,< 0.002,0.216,< 0.002,6.1,89.6,8.2,1.2,0.041,0.066,34.9,52.9,24.5,8.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2001-03-08,0.2,5.1,0.9,0.29,0.003,0.282,0.005,5.9,85.4,8.14,1.9,0.062,0.1,33.4,50.9,24.4,13.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2001-03-08,0.2,14.4,0.7,0.51,0.013,0.462,0.035,6.2,88.6,7.87,4.6,0.15,0.21,26.8,41.7,25.8,9.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2001-03-08,0.2,20,0.7,0.68,0.061,0.521,0.098,5.1,72.2,7.63,7.4,0.24,0.3,24.1,37.9,26.1,13.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2001-03-08,0.2,5.5,1,0.18,< 0.002,0.176,< 0.002,6.5,94.5,8.19,0.8,0.027,0.048,34.7,52.7,24.5,7.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2001-03-08,0.2,4.4,0.9,0.17,< 0.002,0.166,< 0.002,6.6,96.3,8.19,< 0.5,0.019,0.04,34.9,52.9,24.6,8.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2001-03-08,0.2,3,0.9,0.16,< 0.002,0.156,< 0.002,6.6,97.0,8.2,< 0.5,0.015,0.031,35.0,53.1,24.8,8.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2001-04-05,0.2,8.4,0.6,0.28,< 0.002,0.275,0.003,7.1,99.9,8.18,1.7,0.037,0.091,32.4,49.5,22.83,23.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2001-04-05,0.2,12.4,0.7,0.37,0.004,0.363,0.003,7.2,100.1,8.19,2.6,0.051,0.11,29.9,46.0,23.35,21.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2001-04-05,0.2,15.4,0.5,0.52,0.013,0.479,0.028,7.1,97.6,8.14,5,0.072,0.15,25.9,40.5,24.03,22.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2001-04-05,0.2,15.8,0.7,0.61,0.038,0.496,0.076,7.0,96.3,7.91,7.8,0.098,0.17,23.3,36.8,24.42,15.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2001-04-05,0.2,17.2,0.7,0.96,0.13,0.67,0.16,6.4,86.0,7.88,4.1,0.15,0.24,20.3,32.5,24.81,14.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2001-04-05,0.2,8.1,0.6,0.35,< 0.002,0.344,0.004,7.8,108.0,8.28,2.5,0.04,0.1,31.7,48.5,22.69,20.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2001-04-05,0.2,5.1,0.7,0.21,< 0.002,0.206,0.002,7.5,106.2,8.29,1.2,0.03,0.064,33.2,50.6,23.14,22.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2001-04-05,0.2,5.2,0.7,0.19,< 0.002,0.186,< 0.002,7.8,111.7,8.31,0.6,0.016,0.048,33.9,51.6,23.65,13.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2001-06-21,0.2,2.1,1.8,0.24,< 0.002,0.236,< 0.002,7.7,98.9,8.19,< 0.5,0.045,0.067,34.8,52.7,17.6,4.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2001-06-21,0.2,3.1,1.05,0.27,< 0.002,0.266,< 0.002,7.5,96.7,8.15,0.8,0.058,0.084,34.2,51.9,17.6,6.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2001-06-21,0.2,3.7,1.2,0.35,0.015,0.32,0.015,7.1,91.5,8.04,1.3,0.084,0.12,32.5,49.7,18.0,8.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2001-06-21,0.2,3,1,0.52,0.075,0.382,0.063,6.7,85.5,7.87,1.6,0.14,0.19,29.9,46.0,18.6,7.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2001-06-21,0.2,2.5,0.95,0.79,0.21,0.41,0.17,5.0,62.7,7.51,1.6,0.24,0.29,27.1,42.2,18.8,8.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2001-06-21,0.2,1.7,1.8,0.22,< 0.002,0.216,< 0.002,7.9,102.7,8.25,< 0.5,0.039,0.059,34.8,52.7,17.81,2.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2001-06-21,0.2,0.9,1.8,0.16,< 0.002,0.156,< 0.002,7.8,102.5,8.27,< 0.5,0.027,0.039,35.1,53.2,18.12,2.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2001-07-19,0.2,1.1,3.2,0.19,< 0.002,0.186,< 0.002,8.2,103.6,8.29,< 0.5,0.045,0.058,35.6,53.8,16.34,2.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2001-07-19,0.2,4.3,1.7,0.27,< 0.002,0.266,< 0.002,8.3,105.5,8.23,0.8,0.056,0.082,34.1,51.9,16.73,7.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2001-07-19,0.2,12.4,1.2,0.42,0.005,0.41,0.005,9.1,114.8,8.12,1.5,0.076,0.12,31.6,48.4,17.53,8.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2001-07-19,0.2,9.8,1.15,0.67,0.08,0.43,0.16,8.0,100.6,7.85,< 0.5,0.15,0.2,29.4,45.3,17.72,10.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2001-07-19,0.2,1.9,2.6,0.17,< 0.002,0.166,< 0.002,8.1,103.9,8.28,< 0.5,0.034,0.045,35.7,53.9,16.9,1.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2001-08-17,0.2,1.2,2.6,0.26,0.002,0.256,0.002,7.5,96.6,8.08,0.6,0.051,0.073,34.3,52.1,17.92,3.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2001-08-17,0.2,1.9,1.8,0.31,0.008,0.283,0.019,7.5,96.6,8.06,0.9,0.063,0.094,33.6,51.2,18.09,5.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2001-08-17,0.2,3.6,1.3,0.53,0.068,0.352,0.11,7.0,90.7,7.8,0.9,0.1,0.14,31.5,48.2,18.7,7.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2001-08-17,0.2,2.8,1.5,0.69,0.13,0.36,0.2,6.6,84.5,7.6,< 0.5,0.16,0.2,29.3,45.3,19.03,6.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2001-08-17,0.2,1.6,1.3,0.86,0.2,0.38,0.28,5.2,65.8,7.43,2,0.25,0.28,26.9,41.9,19.1,6.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2001-08-20,0.2,0.9,2.6,0.24,0.003,0.232,0.005,7.9,100.1,8.11,< 0.5,0.052,0.066,34.5,52.4,16.99,3.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2001-08-20,0.2,0.8,2,0.28,< 0.002,0.276,< 0.002,7.8,99.6,8.15,< 0.5,0.032,0.05,34.8,52.7,17.32,4.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2001-09-20,0.2,4.3,1.1,0.27,0.002,0.255,0.013,7.4,104.2,8.03,0.7,0.047,0.064,35.3,53.5,21.86,12.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2001-09-20,0.2,3.4,1,0.28,0.005,0.256,0.019,7.0,97.8,7.97,0.8,0.048,0.064,35.0,53.0,21.54,10.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2001-09-20,0.2,3.6,1.1,0.47,0.059,0.311,0.1,6.9,95.3,8.0,0.9,0.096,0.11,35.0,53.1,21.15,11.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2001-09-20,0.2,3.7,1.1,0.33,0.006,0.308,0.016,6.3,87.7,7.79,0.8,0.047,0.073,32.7,50.0,22.07,8.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2001-09-20,0.2,3.1,1.4,0.67,0.13,0.34,0.2,5.4,74.5,7.56,1.1,0.18,0.2,30.0,46.3,22.47,8.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2001-09-20,0.2,2.8,1,0.28,< 0.002,0.276,< 0.002,6.9,97.3,8.11,0.8,0.041,0.063,35.8,54.1,22.0,4.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2001-09-20,0.2,4.2,1,0.26,0.024,0.227,0.009,6.9,97.2,8.22,0.8,0.046,0.064,35.5,53.7,21.9,4.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2001-09-20,0.2,1.5,1.5,0.21,< 0.002,0.206,< 0.002,7.0,96.9,8.29,< 0.5,0.03,0.041,35.0,53.1,20.9,2.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2001-10-18,0.2,2.8,0.9,0.33,0.027,0.269,0.034,6.9,98.4,8.04,0.6,0.059,0.077,35.2,53.3,22.99,7.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2001-10-18,0.2,3.2,1.4,0.3,0.013,0.266,0.021,7.0,99.1,8.04,< 0.5,0.051,0.071,35.5,53.7,22.54,6.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2001-10-18,0.2,2.8,0.95,0.34,0.03,0.273,0.037,6.5,92.1,7.9,1.1,0.057,0.081,34.7,52.7,23.0,13.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2001-10-18,0.2,2.8,0.9,0.48,0.072,0.315,0.093,5.7,79.7,7.72,0.9,0.088,0.11,33.5,51.1,22.72,10.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2001-10-18,0.2,3.3,0.6,0.71,0.14,0.39,0.18,4.8,67.8,7.46,1.7,0.16,0.19,30.1,46.4,23.84,11.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2001-10-18,0.2,3.6,1.2,0.25,0.007,0.233,0.01,6.0,85.9,8.07,< 0.5,0.04,0.072,36.0,54.3,22.5,4.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2001-10-18,0.2,2.8,1.15,0.26,0.015,0.218,0.027,6.2,89.0,8.12,1.1,0.049,0.069,35.5,53.7,23.3,3.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2001-10-18,0.2,4.1,1.2,0.3,0.008,0.252,0.04,6.4,92.2,8.13,1,0.053,0.11,34.0,51.7,23.9,3.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2001-11-15,0.2,7.9,0.7,0.34,0.007,0.331,< 0.002,6.8,97.1,8.15,< 0.5,0.04,0.078,33.7,51.3,23.3,7.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2001-11-15,0.2,6.5,0.6,0.3,0.006,0.292,< 0.002,6.6,95.1,8.17,1.2,0.037,0.073,35.5,53.7,23.5,8.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2001-11-15,0.2,4.3,0.8,0.24,0.006,0.232,< 0.002,6.7,96.5,8.2,< 0.5,0.031,0.054,35.7,54.0,23.3,5.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2001-12-13,0.2,8.7,0.5,0.29,< 0.002,0.286,< 0.002,6.5,96.2,7.9,< 0.5,0.045,0.084,32.9,50.3,26.0,13.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2001-12-13,0.2,7.7,0.5,0.3,0.003,0.295,< 0.002,6.7,99.7,7.87,2.3,0.049,0.09,31.9,48.8,26.2,12.0
